store_id,uptime_last_hour_mins,uptime_last_day_hrs,uptime_last_week_hrs,downtime_last_hour_mins,downtime_last_day_hrs,downtime_last_week_hrs
8419537941919820732,0,0,0,60,24,169
54515546588432327,0,5,15,60,19,154
8377465688456570187,0,0,0,60,24,169
5955337179846162144,0,0,0,60,24,169
1169347689335808384,0,0,0,60,24,169
3739729523266121270,0,0,7,60,24,162
4430370444829587327,0,0,0,60,24,169
1912555533282230523,0,0,0,60,24,169
5489547402882838709,0,0,0,60,24,169
759601765366096871,0,8,140,60,16,29
5627904252074297008,0,3,8,60,21,161
2651685499613063745,0,0,0,60,24,169
5043046815492880667,0,4,79,60,20,90
2367299134091594697,0,0,65,60,24,104
6613902849003357359,0,0,19,60,24,150
1396650693591399695,0,0,4,60,24,165
837699569013981799,0,0,0,60,24,169
2057963137235512954,0,8,81,60,16,88
6108568838704593560,0,18,91,60,6,78
7815590034868021689,0,0,0,60,24,169
7493928216510270665,0,15,88,60,9,81
7961038966240415760,0,0,9,60,24,160
605803287923472894,0,0,0,60,24,169
5278384915350904550,0,9,22,60,15,147
8494749731668571682,0,2,15,60,22,154
4858828967449392712,0,0,2,60,24,167
7555752115160416405,0,0,0,60,24,169
8625022238145771938,0,0,0,60,24,169
4159147177864939740,0,0,0,60,24,169
8157355919956132858,0,0,0,60,24,169
3595154674145356045,0,0,0,60,24,169
5693932324957995427,0,0,5,60,24,164
8631502755712457479,0,10,21,60,14,148
7369215549436595643,0,10,20,60,14,149
5733393565264082443,0,0,0,60,24,169
4681743429609749121,0,0,0,60,24,169
2567728765809290933,0,0,0,60,24,169
284239040495575980,0,0,0,60,24,169
6656463669299127947,0,0,0,60,24,169
9184109988854973601,0,0,0,60,24,169
6031574077635056029,0,0,0,60,24,169
9111813718630350474,0,0,0,60,24,169
8750493480383302874,0,0,0,60,24,169
3048405945625600463,0,0,0,60,24,169
3983786718839842887,0,0,0,60,24,169
5047154360023757128,0,0,42,60,24,127
7933946190613920010,0,18,20,60,6,149
379226339704530410,0,12,14,60,12,155
1253356761818562621,0,15,17,60,9,152
